project_id,repo_full_name,url,default_branch,latest_sha,stars,license,created_at,updated_at,pushed_at,size_kb,archived,fork,disabled,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,php_min_version,php_max_version,php_constraint_count,php_multi_version,php_environment_group,laravel_min_version,laravel_max_version,laravel_constraint_count,laravel_multi_version,laravel_environment_group,environment_group,environment_complexity,testing_mechanism,activity_year
P216,theharshkhatri/vendorflow,https://github.com/theharshkhatri/vendorflow,main,,,,2026-01-15T10:09:01Z,2026-07-21T13:32:26Z,2026-05-13T11:53:55Z,2539.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-05-13T11:53:55+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:09:27.998941+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2026
P235,cachethq/cachet,https://github.com/cachethq/cachet,3.x,,,NOASSERTION,2014-11-16T22:23:11Z,2026-09-09T22:20:03Z,2026-09-07T07:02:35Z,37981.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-07T07:02:35+00:00,True,True,phpunit.xml,True,True,True,test: ['@php artisan test'],^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:09:35.665976+00:00,8.3.0,8.3.0,1,False,PHP-8.3,13.0.0,13.0.0,1,False,Laravel-13,PHP-8.3__Laravel-13,Single constraint,PHPUnit + Composer test,2026
P251,HolgerHatGarKeineNode/twenty-one-companion,https://github.com/HolgerHatGarKeineNode/twenty-one-companion,master,,,MIT,2026-06-11T10:52:31Z,2026-09-05T22:04:54Z,2026-09-05T22:04:50Z,4603.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-05T22:04:50+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@lint:check', '@types:check', '@php artisan test --parallel'] | test:integration: ['Composer\\Config::disableProcessTimeout', 'php artisan config:clear --ansi && php vendor/bin/pest -c phpunit.integration.xml'] | test:browser: ['Composer\\Config::disableProcessTimeout', 'bash scripts/run-browser.sh'] | test:push-kotlin: ['Composer\\Config::disableProcessTimeout', 'bash scripts/run-push-kotlin.sh'] | test:coverage: ['Composer\\Config::disableProcessTimeout', '@php artisan config:clear --ansi', '@php -d pcov.enabled=1 vendor/bin/pest --coverage --compact'] | test:tia: ['Composer\\Config::disableProcessTimeout', '@php artisan config:clear --ansi', 'php -d pcov.enabled=1 -d pcov.directory=""$(pwd)"" vendor/bin/pest --tia --compact']",^8.4,^13.7,False,False,,False,True,Eligible,2026-09-11T14:09:44.424807+00:00,8.4.0,8.4.0,1,False,PHP-8.4,13.7.0,13.7.0,1,False,Laravel-13,PHP-8.4__Laravel-13,Single constraint,PHPUnit + Composer test,2026
P258,adielsh/laravel-vue-vuex-vuerouter-login,https://github.com/adielsh/laravel-vue-vuex-vuerouter-login,master,,,,2017-03-05T08:55:10Z,2026-08-09T14:52:24Z,2026-08-09T14:52:01Z,149.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-09T14:52:01+00:00,True,True,phpunit.xml,True,True,False,,>=5.6.4,5.3.*,False,False,,False,True,Eligible,2026-09-11T14:09:48.604896+00:00,5.6.4,5.6.4,1,False,PHP-5.6,5.3.0,5.3.0,1,False,Laravel-5,PHP-5.6__Laravel-5,Single constraint,PHPUnit,2026
P270,spatie/laravel-passkeys-app,https://github.com/spatie/laravel-passkeys-app,main,,,,2024-08-26T12:12:08Z,2026-05-26T16:27:47Z,2025-05-12T08:38:05Z,153.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-05-12T08:38:05+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:10:01.179045+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit,2025
P287,kyledoesdev/songrank.dev,https://github.com/kyledoesdev/songrank.dev,master,,,MIT,2023-08-29T05:14:46Z,2026-09-06T15:14:36Z,2026-09-10T02:28:46Z,44459.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-10T02:28:46+00:00,True,True,phpunit.xml,True,True,False,,^8.4||^8.5,^13.0,False,False,,False,True,Eligible,2026-09-11T14:10:17.289722+00:00,8.4.0,8.5.0,2,True,"PHP-Multi[8.4,8.5]",13.0.0,13.0.0,1,False,Laravel-13,"PHP-Multi[8.4,8.5]__Laravel-13",Multi-PHP,PHPUnit,2026
P288,anjaraeu/Raki,https://github.com/anjaraeu/Raki,master,,,AGPL-3.0,2019-05-23T07:39:01Z,2025-05-01T16:31:41Z,2025-05-01T16:31:36Z,7542.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-05-01T16:31:36+00:00,True,True,phpunit.xml,True,True,False,,^8.0.2,^8.0,False,False,,False,True,Eligible,2026-09-11T14:10:23.371602+00:00,8.0.2,8.0.2,1,False,PHP-8.0,8.0.0,8.0.0,1,False,Laravel-8,PHP-8.0__Laravel-8,Single constraint,PHPUnit,2025
P290,Bijay-Shre-stha/ForumFusion,https://github.com/Bijay-Shre-stha/ForumFusion,main,,,MIT,2023-12-22T01:37:38Z,2025-10-17T16:16:53Z,2025-09-20T12:10:20Z,3096.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-09-20T12:10:20+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:10:26.748386+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.10.0,10.10.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2025
P295,Nejcc/laravelplus,https://github.com/Nejcc/laravelplus,master,,,,2023-02-03T14:02:30Z,2025-10-15T04:36:54Z,2025-04-15T21:00:03Z,47909.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-04-15T21:00:03+00:00,True,True,phpunit.xml,True,False,True,pint:test: ['vendor/bin/pint --test'],^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:10:30.051588+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2025
P296,abel291/ecommerce-hardware-laravel-inertia-react,https://github.com/abel291/ecommerce-hardware-laravel-inertia-react,main,,,,2024-03-02T19:13:18Z,2026-06-12T08:53:26Z,2026-06-12T08:53:21Z,1229267.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-06-12T08:53:21+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.0,False,False,,False,True,Eligible,2026-09-11T14:10:34.298732+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.0.0,10.0.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2026
